date, pm25, pm10, o3, no2, so2, co
2019/6/19, 74, 35, 45, 20, 7, 5
2019/6/20, 76, 25, 30, 20, 6, 4
2019/6/21, 57, 11, 33, 11, 3, 3
2019/6/22, 23, 13, 21, 12, 5, 3
2019/6/23, 31, 8, 19, 12, 1, 2
2019/6/24, 17, 17, 35, 20, 7, 4
2019/6/25, 44, 22, 29, 19, 6, 4
2019/6/26, 54, 14, 26, 9, 2, 3
2019/6/27, 30, 20, 19, 21, 6, 3
2019/6/28, 38, 12, 25, 15, 1, 3
2019/6/29, 29, 13, 13, 16, 1, 4
2019/6/30, 30, 21, 11, 21, 2, 3
2019/1/1, 29, 4, 29, 9, 1, 3
2019/1/2, 22, 4, 29, 6, 1, 2
2019/1/3, 16, 8, 23, 17, 5, 4
2019/1/4, 36, 12, 28, 24, 4, 5
2019/1/5, 48, 5, 29, 6, 1, 3
2019/1/6, 25, 5, 28, 13, 1, 3
2019/1/7, 23, 20, 6, 44, 8, 6
2019/1/8, 71, 9, 27, 13, 2, 3
2019/1/9, 32, 15, 16, 31, 2, 4
2019/1/10, 58, 13, 25, 22, 2, 5
2019/1/11, 46, 17, 18, 25, 1, 4
2019/1/12, 62, 13, 30, 11, , 3
2019/1/13, 49, 8, 28, 14, , 3
2019/1/14, 40, 18, 18, 32, 6, 6
2019/1/15, 68, 13, 28, 19, 2, 6
2019/1/16, 53, 16, 23, 30, 9, 5
2019/1/17, 61, 7, 28, 11, 1, 3
2019/1/18, 26, 9, 29, 20, 6, 3
2019/1/19, 35, 16, 26, 19, 4, 4
2019/1/20, 58, 8, 29, 17, 1, 3
2019/1/21, 30, 11, 25, 24, 1, 4
2019/1/22, 45, 15, 20, 24, 6, 6
2019/1/23, 57, 7, 27, 10, 4, 3
2019/1/24, 27, 8, 27, 20, 7, 3
2019/1/25, 32, 9, 28, 13, 3, 3
2019/1/26, 36, 5, 31, 4, , 1
2019/1/27, 17, 10, 9, 32, 1, 4
2019/1/28, 43, 19, 30, 8, 1, 4
2019/1/29, 63, 25, 22, 36, 11, 6
2019/1/30, 83, 29, 17, 43, 11, 6
2019/1/31, 91, 6, 29, 9, 1, 2
2019/2/1, 24, 12, 15, 27, 6, 5
2019/2/2, 47, 16, 17, 21, 4, 4
2019/2/4, 24, 17, 25, 19, 1, 3
2019/2/5, 58, 27, 10, 32, 3, 6
2019/2/6, 80, 33, 24, 38, 6, 10
2019/2/7, 89, 5, 26, 11, 1, 3
2019/2/8, 20, 12, 23, 15, 1, 3
2019/2/9, 53, 8, 31, 6, 1, 3
2019/2/10, 31, 12, 23, 15, 1, 3
2019/2/11, 53, 10, 26, 21, 7, 3
2019/2/12, 40, 13, 16, 25, 4, 4
2019/2/13, 53, 10, 28, 12, 1, 3
2019/2/14, 37, 13, 22, 29, 2, 4
2019/2/15, 51, 21, 30, 25, 3, 4
2019/2/16, 71, 14, 36, 5, 1, 3
2019/2/17, 50, 14, 32, 26, 12, 4
2019/2/18, 49, 25, 10, 45, 10, 6
2019/2/19, 79, 28, 25, 29, 4, 5
2019/2/20, 86, 6, 32, 11, , 4
2019/2/21, 25, 12, 25, 22, 3, 4
2019/2/22, 42, 18, 36, 11, 1, 3
2019/2/23, 61, 20, 38, 16, 5, 4
2019/2/24, 64, 27, 19, 42, 7, 5
2019/2/25, 77, 26, 29, 21, 4, 4
2019/2/26, 70, 20, 29, 21, 2, 4
2019/2/27, 61, 23, 18, 30, 2, 4
2019/2/28, 76, 17, 23, 29, 10, 4
2019/3/1, 59, 22, 38, 13, 3, 3
2019/3/2, 68, 26, 29, 14, 2, 3
2019/3/3, 75, 8, 31, 12, 1, 3
2019/3/4, 27, 21, 33, 25, 9, 4
2019/3/5, 63, 30, 11, 45, 9, 7
2019/3/6, 81, 19, 29, 23, 1, 4
2019/3/7, 59, 9, 34, 9, , 3
2019/3/8, 29, 12, 39, 19, 5, 3
2019/3/9, 45, 14, 34, 21, 5, 4
2019/3/10, 44, 5, 32, 16, 4, 3
2019/3/11, 16, 13, 36, 23, 9, 3
2019/3/12, 40, 15, 39, 21, 3, 4
2019/3/13, 44, 9, 31, 15, 3, 3
2019/3/14, 35, 15, 35, 20, 5, 3
2019/3/15, 55, 18, 36, 17, 2, 3
2019/3/16, 64, 13, 38, 9, 4, 3
2019/3/17, 48, 8, 32, 18, 5, 3
